,index,timestamp,address,sens1,sens2,sens3,sens4
14895,26295,17.557999849319458, John/eeg, 976.3003663, 841.721611722, 850.586080586, 865.091575092
14897,26297,17.557999849319458, John/eeg, 984.761904762, 842.124542125, 848.571428571, 870.732600733
14899,26299,17.557999849319458, John/eeg, 979.926739927, 838.498168498, 856.227106227, 884.432234432
14907,26307,17.59599995613098, John/eeg, 968.241758242, 838.095238095, 863.076923077, 886.446886447
14909,26309,17.59599995613098, John/eeg, 969.853479853, 835.677655678, 857.838827839, 875.567765568
14911,26311,17.59599995613098, John/eeg, 973.076923077, 833.26007326, 851.794871795, 869.523809524
14913,26313,17.596999883651733, John/eeg, 978.717948718, 833.663003663, 855.018315018, 878.791208791
14915,26315,17.596999883651733, John/eeg, 995.641025641, 839.706959707, 851.794871795, 890.073260073
14937,26337,17.59999990463257, John/eeg, 982.747252747, 842.93040293, 849.78021978, 896.52014652
14939,26339,17.59999990463257, John/eeg, 954.945054945, 843.333333333, 857.435897436, 882.820512821
14941,26341,17.59999990463257, John/eeg, 953.333333333, 841.721611722, 860.256410256, 878.388278388
14943,26343,17.60099983215332, John/eeg, 963.80952381, 837.289377289, 856.63003663, 886.446886447
14945,26345,17.60099983215332, John/eeg, 991.208791209, 835.677655678, 854.615384615, 874.761904762
14947,26347,17.60099983215332, John/eeg, 1026.66666667, 836.483516484, 855.421245421, 867.509157509
14949,26349,17.60199999809265, John/eeg, 981.135531136, 836.483516484, 859.853479853, 882.820512821
14963,26363,17.657999992370605, John/eeg, 923.113553114, 834.468864469, 867.509157509, 899.743589744
14965,26365,17.658999919891357, John/eeg, 960.183150183, 836.080586081, 868.717948718, 911.831501832
14967,26367,17.658999919891357, John/eeg, 990.805860806, 840.915750916, 862.271062271, 915.457875458
14969,26369,17.658999919891357, John/eeg, 982.747252747, 844.945054945, 858.644688645, 902.161172161
14971,26371,17.65999984741211, John/eeg, 967.435897436, 845.347985348, 861.062271062, 892.087912088
14973,26373,17.65999984741211, John/eeg, 950.512820513, 841.318681319, 862.271062271, 887.252747253
14975,26375,17.65999984741211, John/eeg, 944.468864469, 840.512820513, 857.435897436, 884.835164835
14977,26377,17.65999984741211, John/eeg, 942.051282051, 840.10989011, 852.600732601, 887.655677656
14979,26379,17.66100001335144, John/eeg, 942.454212454, 837.289377289, 852.197802198, 890.476190476
14981,26381,17.66100001335144, John/eeg, 958.974358974, 832.051282051, 852.197802198, 887.252747253
14983,26383,17.66100001335144, John/eeg, 984.358974359, 834.871794872, 853.406593407, 879.597069597
14985,26385,17.66100001335144, John/eeg, 989.194139194, 843.333333333, 851.391941392, 859.450549451
14987,26387,17.698999881744385, John/eeg, 964.615384615, 844.139194139, 849.377289377, 858.644688645
14989,26389,17.698999881744385, John/eeg, 952.93040293, 844.139194139, 848.974358974, 875.567765568
14991,26391,17.700000047683716, John/eeg, 950.10989011, 843.333333333, 849.78021978, 880.402930403
14993,26393,17.700000047683716, John/eeg, 958.974358974, 845.750915751, 855.421245421, 880.402930403
14995,26395,17.700000047683716, John/eeg, 982.747252747, 846.95970696, 853.003663004, 868.315018315
14997,26397,17.700000047683716, John/eeg, 986.776556777, 842.124542125, 853.003663004, 871.135531136
14999,26399,17.700999975204468, John/eeg, 987.985347985, 843.333333333, 861.465201465, 873.956043956
15021,26421,17.705999851226807, John/eeg, 967.435897436, 842.93040293, 862.673992674, 854.212454212
15023,26423,17.707000017166138, John/eeg, 940.43956044, 840.10989011, 860.659340659, 870.732600733
15025,26425,17.707000017166138, John/eeg, 949.304029304, 836.886446886, 859.853479853, 882.417582418
15027,26427,17.707000017166138, John/eeg, 977.509157509, 838.498168498, 857.838827839, 883.626373626
15029,26429,17.707000017166138, John/eeg, 983.956043956, 839.706959707, 858.241758242, 884.432234432
15037,26437,17.740999937057495, John/eeg, 969.047619048, 833.663003663, 848.974358974, 885.641025641
15039,26439,17.740999937057495, John/eeg, 962.600732601, 831.648351648, 842.93040293, 871.135531136
15041,26441,17.740999937057495, John/eeg, 966.227106227, 835.677655678, 845.347985348, 848.571428571
15043,26443,17.740999937057495, John/eeg, 961.794871795, 840.10989011, 845.347985348, 864.688644689
15045,26445,17.741999864578247, John/eeg, 958.974358974, 843.736263736, 856.63003663, 875.970695971
15047,26447,17.741999864578247, John/eeg, 962.197802198, 843.736263736, 858.644688645, 878.791208791
15049,26449,17.741999864578247, John/eeg, 971.465201465, 842.124542125, 852.197802198, 889.267399267
15051,26451,17.743000030517578, John/eeg, 961.794871795, 840.915750916, 856.63003663, 896.52014652
15053,26453,17.743000030517578, John/eeg, 966.63003663, 840.915750916, 858.644688645, 895.311355311
15055,26455,17.743000030517578, John/eeg, 995.641025641, 843.736263736, 852.197802198, 887.252747253
15057,26457,17.743000030517578, John/eeg, 979.120879121, 842.93040293, 855.421245421, 873.956043956
15059,26459,17.74399995803833, John/eeg, 954.542124542, 843.333333333, 861.868131868, 870.32967033
15067,26467,17.780999898910522, John/eeg, 956.153846154, 843.736263736, 855.824175824, 888.058608059
15069,26469,17.781999826431274, John/eeg, 969.047619048, 842.527472527, 843.736263736, 883.626373626
15071,26471,17.781999826431274, John/eeg, 988.388278388, 837.692307692, 845.750915751, 852.197802198
15073,26473,17.782999992370605, John/eeg, 997.655677656, 832.051282051, 855.421245421, 846.95970696
15075,26475,17.782999992370605, John/eeg, 981.538461538, 843.333333333, 851.794871795, 865.897435897
15077,26477,17.782999992370605, John/eeg, 984.761904762, 848.974358974, 849.78021978, 871.538461538
15079,26479,17.783999919891357, John/eeg, 986.776556777, 846.95970696, 856.227106227, 862.673992674
15081,26481,17.783999919891357, John/eeg, 942.454212454, 846.153846154, 853.80952381, 872.747252747
15083,26483,17.783999919891357, John/eeg, 928.754578755, 848.168498168, 853.406593407, 860.659340659
15105,26505,17.787999868392944, John/eeg, 940.036630037, 851.391941392, 855.824175824, 845.347985348
15107,26507,17.787999868392944, John/eeg, 956.95970696, 850.183150183, 852.600732601, 847.765567766
15109,26509,17.789000034332275, John/eeg, 986.776556777, 846.556776557, 852.197802198, 847.765567766
15123,26523,17.822999954223633, John/eeg, 992.820512821, 846.95970696, 853.003663004, 848.168498168
15125,26525,17.822999954223633, John/eeg, 954.945054945, 845.347985348, 848.168498168, 837.692307692
15127,26527,17.822999954223633, John/eeg, 946.080586081, 842.124542125, 845.347985348, 829.633699634
15129,26529,17.823999881744385, John/eeg, 983.553113553, 844.945054945, 850.586080586, 858.644688645
15131,26531,17.823999881744385, John/eeg, 964.615384615, 842.527472527, 848.168498168, 861.062271062
